identifiant,section,element,selecteur_maquette,correspondant_v2,structure,contenu,composition,style,statut_global,note
LIV.00,SOURCE MAQUETTE / GABARIT V2,Identification — Hub Livres uniquement (Phase B1),prototype-html/livres/index.html + commerce.css (partagé avec Boutique/fiches produit/Panier),"site/src/app/(site)/livres/page.tsx — Header (layout)/Newsletter/Footer partagés déjà certifiés, non reconstruits",CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,"9 sections cartographiées en Phase A, toutes traitées ici. Fiche Livre, Boutique, Fiche Goodie, Panier, Confirmation restent INTOUCHABLES (non ouverts dans cette reprise). Classes .v2-catalog-* et .v2-store-hero.livres confirmées exclusives à cette page (grep exhaustif) avant toute correction — aucun risque de régression croisée pour les corrections qui leur sont scopées."
LIV.01,[SECTION 01] Header / Navigation (composant partagé),Rendu du Header dans le contexte réel du Hub Livres,.site-header (partagé),"Header (layout.tsx, partagé) + DesktopNav (déjà corrigé lors de l'audit Partenariat)",CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,"Vérifié réellement dans ce contexte, pas par analogie : lien ""Livres"" du menu déroulant ""À propos"" correctement actif (className=""active"", correction DesktopNav déjà en place depuis l'audit Partenariat), tous les liens de nav présents. Badge panier (.v2-cart-count) masqué à 0 article — comportement déjà existant du composant partagé (masquer plutôt qu'afficher ""0""), différent de la maquette qui affiche toujours ""0"" en dur ; SIGNALÉ comme déjà-existant, hors périmètre de cette page (composant partagé à ne pas reconstruire ici). Aucune modification apportée à cette SECTION."
LIV.02,[SECTION 02] Hero (.store-hero),"Eyebrow ""amDG Éditions du Royaume"" (casse de marque) + titre + chapeau + filigrane ""LIVRES""",.store-hero/.store-hero-inner/.eyebrow.light.brand-case/h1/p/::before/::after,.v2-store-hero.livres/.v2-store-hero-inner/.v2-eyebrow.light/h1/p,CONFORME,CONTENU CORRIGÉ,CONFORME (après correction),STYLE CORRIGÉ,CONFORME,"2 BUGS RÉELS CORRIGÉS : (1) la classe ""brand-case"" (.v2-brand-case, text-transform:none — déjà présente dans globals.css mais jamais appliquée) manquait sur l'eyebrow : ""amDG Éditions du Royaume"" s'affichait ""AMDG ÉDITIONS DU ROYAUME"", perdant la graphie de marque figée voulue par la maquette. Ajoutée. (2) même mécanisme déjà trouvé sur le Hero Partenariat : body{line-height:1.6} manquant en V2 (globals.css) faisait mesurer l'eyebrow à 16px de haut au lieu de 20.8px (13×1.6) sur la maquette — corrigé localement (.v2-store-hero.livres .v2-eyebrow{line-height:1.6}), SIGNALÉ SANS CORRECTION sur le Hero Boutique (même classe .v2-eyebrow, hors périmètre de cette page). Re-mesuré : hauteur du Hero 316px identique à la maquette (316px), casse de ""amDG"" restaurée, filigrane ""LIVRES""/h1/chapeau déjà conformes et revérifiés inchangés."
LIV.03,[SECTION 03] Intro catalogue (.catalog-intro),"Accroche h2 avec emphase ""justice du Royaume."" en italique",.catalog-intro/h2/em,.v2-catalog-intro/h2/em,CONFORME,CONFORME,CONFORME,STYLE CORRIGÉ,CONFORME,"BUG RÉEL CORRIGÉ : ""font-style:normal"" ajouté à tort sur .v2-catalog-intro h2 em annulait l'italique par défaut du <em> — la règle maquette (.catalog-intro h2 em) ne déclare aucun font-style, laissant l'italique natif du navigateur s'appliquer (vérifié réellement italique sur la maquette). Retiré. Re-mesuré : intro 850×419, h2 720×311, em 715×127 — identique au pixel près à la maquette (écart de 2px en Y dû à une différence de hauteur de header déjà connue, non spécifique à cette section)."
LIV.04,[SECTION 04] Grille catalogue (.catalog-grid),"7 cartes livres réelles : couverture rollover, badge, titre, prix, CTA détail + ajout panier",.catalog-grid/.catalog-card/.cover-switch/.catalog-badge/h2/.catalog-price/.catalog-detail/.catalog-add,.v2-catalog-grid/.v2-catalog-card (CoverRollover)/.v2-catalog-badge/h2/.v2-catalog-price/.v2-catalog-detail/AddToCartButton,CONFORME,"CONTENU NON CONFORME (signalé, non corrigeable en code)",COMPOSITION CORRIGÉE,STYLE CORRIGÉ,"CONTRÔLE MANUEL REQUIS (partiel — casse des titres, décision éditoriale)","Grille 4 colonnes × 266.5px, gap 18px identique à la maquette (7 cartes des deux côtés, même ordre : Tu deviens ce que tu connais / Manifester ce que Dieu a prévu / Les hauts lieux dans le culte moderne / Pourquoi suis-je né de nouveau ? / Ton corps t'écoute / David : le fugitif du Royaume vol.1 / Marcher dans la foi — volet 2). 3 BUGS RÉELS DE STYLE CORRIGÉS (tous par mesure directe, mécanisme body{line-height:1.6} manquant déjà identifié ailleurs) : badge 24px de haut au lieu de 26px, prix 46px au lieu de 57px, carte entière 600px au lieu de 613px — line-height:1.6 ajouté sur .v2-catalog-badge et .v2-catalog-price (classes exclusives à cette page, aucun autre usage). 1 BUG RÉEL DE COMPOSITION CORRIGÉ : object-fit:contain au lieu de cover sur les couvertures — .v2-catalog-cover img{object-fit:cover} ne s'applique jamais en pratique car CoverRollover insère l'image dans .cover-rollover, dont la règle par défaut (.cover-rollover .cr-front/.cr-back, spécificité supérieure) impose contain ; un override équivalent existait déjà pour la vedette de l'accueil (.v2-book-cover ...) mais jamais répliqué ici. Ajouté (.v2-catalog-cover .cover-rollover .cr-front/.cr-back{object-fit:cover}) — sans conséquence visuelle sur les couvertures actuelles (déjà proches du ratio 2:3) mais correction de conformité réelle pour toute couverture au ratio différent. Non-régression vérifiée : l'accueil (.v2-book-cover) et son propre override restent inchangés. CONTENU NON CONFORME SIGNALÉ, NON CORRIGÉ EN CODE : les 7 titres réels (table books.title) sont enregistrés en Title Case (""Tu Deviens Ce Que Tu Connais"") alors que la maquette et la cohérence du site utilisent la casse phrase (""Tu deviens ce que tu connais"") — vérifié qu'aucun text-transform CSS n'est en cause (text-transform:none confirmé, la donnée BRUTE en base est déjà en Title Case). Une correction par CSS (text-transform) écraserait à tort les majuscules légitimes (noms propres ""Dieu"", ""Royaume"") et n'est pas fiable pour un texte français à casse mixte ; une correction directe des données appartient à une décision éditoriale de Serge via le CMS, hors périmètre d'une correction de code — CONTRÔLE MANUEL REQUIS. CoverRollover vérifié réellement : hover (mécanisme confirmé par lecture de code, @media(hover:hover) and (pointer:fine), déjà fonctionnel ailleurs — non déclenchable de façon fiable via automatisation dans cet environnement, limitation déjà documentée) ; focus clavier testé réellement sur la MAQUETTE elle-même (link.focus() sur .catalog-cover-link) : le survol/dos NE se déclenche PAS non plus sur la maquette au clavier (le :focus-within cible .cover-switch, un DESCENDANT du lien focusable, jamais l'inverse) — comportement structurel de la maquette elle-même sur ce Hub, pas une régression V2, aucune correction nécessaire ici. AddToCartButton : fonction existante non modifiée, non déclenchée en direct (écriture réelle en base de production), vérifiée par lecture de code (bookId transmis correctement, session anonyme de secours inchangée)."
LIV.05,"[SECTION 05] Pagination du catalogue — DÉCISION VALIDÉE (reprise ciblée, 14/09)",4 livres/page par défaut (repris de la maquette) + choix utilisateur 4/8 + sélecteur à gauche + pagination à droite,".pagination[data-catalog-page] (boutons 43×43, page active pleine violet-deep)",CatalogGrid.tsx : .v2-catalog-toolbar (.v2-catalog-perpage à gauche + .v2-pagination à droite),STRUCTURE CORRIGÉE,CONFORME,COMPOSITION CORRIGÉE,STYLE CORRIGÉ,CONFORME (décision validée implémentée et vérifiée),"DÉCISION VALIDÉE (14/09) : 4 livres/page par défaut (repris de la maquette) + sélecteur 4/8 ajouté (jamais dans la maquette, décision validée) + composition sélecteur-gauche/pagination-droite (remplace le centrage de la maquette). TESTS RÉELS OBLIGATOIRES exécutés via interaction UI véritable (clic réel sur les boutons, changement réel de <select> avec dispatchEvent('change'), jamais une simple lecture de code) : État A (4/page, défaut) — 4 cartes affichées (Tu deviens ce que tu connais / Manifester ce que Dieu a prévu / Les hauts lieux dans le culte moderne / Pourquoi suis-je né de nouveau ?), pagination visible (boutons ""1""/""2""), page 1 active (aria-current=""page"") ; clic réel sur le bouton ""2"" → 3 cartes affichées (Ton corps t'écoute / David : le fugitif du Royaume vol.1 / Marcher dans la foi — volet 2), page 2 active ; clic réel sur ""1"" → retour aux 4 cartes initiales, page 1 active. État B (8/page) — changement réel du sélecteur vers 8 → 7 cartes affichées (tout le catalogue), pagination masquée (1 seule page nécessaire). État C (retour 4/page) — changement réel du sélecteur vers 4 → 4 cartes réapparaissent, pagination réapparaît, page 1 active. Cas limite supplémentaire vérifié : depuis la page 2 (4/page), passage à 8/page (page courante 2 devenue inexistante, 1 seule page réelle) puis retour à 4/page → repart bien sur la page 1 (pas un retour erroné à la page 2), confirmant que le recalage ne se déclenche QUE quand la page courante devient invalide, comme demandé. FONCTIONNEMENT vérifié réellement, pas par lecture de code seule. Ordre des livres inchangé (simple slice() de la liste déjà triée par getBooks(), aucun re-tri côté client). Aucune donnée artificielle ajoutée. Composant CatalogGrid.tsx créé (client, ""use client"") — extrait de livres/page.tsx (server component) car la pagination exige un état d'interaction ; getBooks() reste appelé côté serveur."
LIV.06,[SECTION 06] Chiffres-clés catalogue (.catalog-facts.catalog-conclusion),"""X livres au catalogue"" (dynamique) + ""100% édition indépendante""",.catalog-facts.catalog-conclusion > div > strong/span,.v2-catalog-facts.v2-catalog-conclusion > div > strong/span,CONFORME,CONFORME (donnée dynamique validée),COMPOSITION CORRIGÉE,CONFORME,CONFORME,"Donnée dynamique confirmée et conservée : books.length (7, réel) remplace le ""7"" statique de la maquette — fonction dynamique validée, pas une non-conformité (la maquette fige un nombre de démonstration, la V2 calcule le nombre réel, ce qui est strictement supérieur pour la fiabilité éditoriale). BUG RÉEL DE COMPOSITION CORRIGÉ : .v2-catalog-conclusion oubliait 2 annulations présentes dans la maquette (border-left:0 et div{padding-left:0}, qui neutralisent le filet/padding gauche hérités de .catalog-facts) — le 1er bloc (""7 livres au catalogue"") démarrait donc à x=109 avec un filet gauche parasite au lieu de x=80 sans filet. Ajoutées (classe exclusive à cette page). Re-mesuré : les 2 blocs à x=80/w=560 et x=669/w=531 — identique au pixel près à la maquette."
LIV.07,"[SECTION 07] CTA amDG Éditions — SUPPRIMÉ (validation humaine, 14/09)",Bloc supplémentaire V2 retiré — vestige de l'ancienne interface confirmé par validation humaine,ABSENT DE LA MAQUETTE (inchangé),SECTION SUPPRIMÉE de livres/page.tsx,SUPPRIMÉE,SANS OBJET,CONFORME (transition vérifiée),SANS OBJET,SUPPRIMÉ (décision validée),"Vérifié avant suppression qu'aucune fonction indispensable et distincte n'était portée par ce bloc : sa seule fonction réelle (lien externe vers amdgeditions.fr) est déjà assurée par le lien ""amDG Éditions du Royaume"" du network-bar du Header (partagé, présent sur cette page comme sur toutes, vérifié réellement présent après suppression). Bloc JSX (.v2-support-section, eyebrow + h2 + p + bouton) retiré de livres/page.tsx. Aucune donnée, route ou fonctionnalité liée à amDG Éditions supprimée : le lien externe reste accessible, la classe CSS .v2-support-section n'a pas été supprimée de globals.css (utilisée ailleurs sur le site, hors périmètre de cette page). Transition entre sections vérifiée réellement (getBoundingClientRect + capture d'écran) : .v2-catalog-conclusion (fond clair) enchaîne directement sur .newsletter (fond sombre distinct, rgb(36,32,56)), écart de 92px cohérent avec la marge déjà existante de .v2-catalog-conclusion (margin-bottom:92px, inchangée) — aucun vide visuel, aucun chevauchement."
LIV.08,[SECTION 08] Newsletter (composant partagé),Bloc newsletter avec texte spécifique à la page Livres,".newsletter#newsletter (texte : ""Recevez chaque semaine les nouvelles parutions et les publications de Serge Hapita..."")",Newsletter.tsx (partagé),CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,"Vérifié réellement, pas supposé : le composant partagé Newsletter affiche bien le texte spécifique à cette page (""Recevez chaque semaine les nouvelles parutions et les publications de Serge Hapita, directement dans votre boîte mail.""), identique mot pour mot à la maquette de ce Hub — confirme que le composant accepte un texte par page plutôt qu'un texte générique. Composant réutilisé tel quel, non reconstruit, aucune modification."
LIV.09,[SECTION 09] Footer (composant partagé),Rendu du Footer dans le contexte réel du Hub Livres,.footer.footer-dark (partagé),"Footer variant=""light"" (site/src/components/layout/Footer.tsx)",CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,"Conforme par référence à une décision déjà établie et documentée dans le composant lui-même (pied de page unifié, toujours clair depuis Lot 1) — la prop ""variant"" sans effet visuel n'est pas un défaut en soi (rappel explicite de la consigne). Vérifié que le Footer s'affiche correctement dans ce contexte précis (logo, description, 3 colonnes de liens, ligne légale). Aucune modification apportée."
