identifiant,section,element,selecteur_maquette,correspondant_v2,statut,note
FL.001,SOURCE MAQUETTE / GABARIT V2,"Identification — Fiche Livre, recertification atomique + balayage exhaustif (14/09)",prototype-html/livres/manifester-ce-que-dieu-a-prevu/index.html + commerce.css,site/src/app/(site)/livres/[slug]/page.tsx — testé sur manifester-ce-que-dieu-a-prevu,CORRIGÉ,"Référentiel entièrement reconstruit au format atomique (1 ligne par élément réellement contrôlé), sur le modèle de referentiel-de-serge.csv — abandon définitif du format agrégé par SECTION utilisé depuis QDLB/VS/Invitation/Partenariat/Livres(hub)/Fiche Livre. Protocole : dump exhaustif maquette (125 éléments) + dump exhaustif V2 (133 éléments) via extract_full.js réexécuté tel quel, diff programmatique élément par élément (appariement tag+texte+position, tolérance 3px), corrections appliquées, nouveau balayage exhaustif complet post-correction, chaque statut réémis depuis cette nouvelle mesure."
FL.002,[SECTION 00] Page,.v2-product-page — police de page héritée (Manrope/antialiased incorrect -> Inter/auto),body{font-family:Inter;line-height:1.6} (héritage global),.v2-product-page (globals.css),CORRIGÉ,"Correctif de page déjà en place (confirmé toujours présent) : font-family:var(--v2-sans);line-height:1.6;-webkit-font-smoothing:auto — même mécanisme que .v2-ds-page/.v2-mission-page/.v2-cj-page. Remesuré : fil d'Ariane, fiche technique et navigation prev/next héritent bien d'Inter/auto (RAS). Partagé avec la fiche Goodie (boutique/[slug]) — non-régression vérifiée."
FL.003,[SECTION 01] Header,"Logo, network-bar/ticker, navigation, recherche, panier — composant partagé Header.tsx",".site-header (logo 188×63, network-bar 38px, nav-dropdown natifs <details>/<summary>)","Header.tsx (composant partagé, non modifié dans ce chantier)",CONFORME,"COMPOSANT PARTAGÉ, HORS PÉRIMÈTRE FICHE LIVRE — déjà certifié/documenté sur d'autres chantiers (De Serge, Mission, Accueil) où il est intégralement atomisé ; ne pas dupliquer son atomisation ici pour rester dans le périmètre strict de cette page. Écart global déjà connu (network-bar ~35px mesuré contre 38px maquette, présent aussi sur l'accueil) : non corrigé dans ce chantier. Structure interne diffère volontairement de la maquette statique (<details>/<summary> natifs côté maquette vs <button> contrôlé en React côté V2) sans conséquence visuelle — pattern déjà validé ailleurs sur le site. Le balayage exhaustif de cette page a capturé ~25 éléments de header/nav/réseaux — non atomisés individuellement ici (hors périmètre), mais aucun écart visuel nouveau constaté au-delà de celui déjà documenté."
FL.004,[SECTION 04] Fiche produit / Achat,Conteneur colonne info produit — padding-top,".book-detail-copy (rect 563,291,637,762 ; padding-top:10px)",".product-info-col (rect 563,289,637,792 après correction ; padding-top:10px)",CORRIGÉ,"ÉCART DE STRUCTURE/COMPOSITION RÉEL DÉCOUVERT PAR LE BALAYAGE EXHAUSTIF DÉDIÉ : ce <div> (2e colonne de .product-grid) était totalement anonyme dans page.tsx, sans classe — aucune règle CSS ne pouvait donc porter le padding-top:10px de la maquette (§ .book-detail-copy), mesuré à 0px. Corrigé en ajoutant la classe `product-info-col` + règle CSS correspondante (padding-top:10px, 0 sous 720px comme la maquette). Hauteur totale de la colonne désormais 792px contre 762px sur la maquette : écart de 30px entièrement expliqué par .rating-row (résumé note/étoiles, 26px + margin-top 20px), un ajout V2 sans équivalent dans la maquette pour cette page — voir ligne dédiée ci-dessous. Fonction quantité/achat non affectée."
FL.005,[SECTION 04] Fiche produit / Achat,"<span> ""Nouveauté"" (badge)",".catalog-badge (rect 563,305,91,22 ; display:inline)",".product-badge (rect 563,303,91,22 après correction ; display:inline)",CORRIGÉ,"ÉCART DE STYLE RÉEL DÉCOUVERT PAR LE BALAYAGE EXHAUSTIF DÉDIÉ : la maquette utilise un <span> en display:inline (jamais surchargé) ; la V2 utilise un <div> forcé en display:inline-block — même padding/police/couleurs, mais l'inline-block ajoute le padding vertical à la hauteur de boîte différemment (26px mesurés contre 22px sur la maquette), un écart de 4px qui se répercutait en cascade sur tout le reste de la colonne (titre, byline, promesse, prix, achat — jusqu'à 3-4px de décalage cumulé). Corrigé en repassant `.product-badge`/`.status-badge` en display:inline (width:fit-content retiré, sans effet sur un élément inline). Remesuré : 22px de haut, identique à la maquette ; toute la colonne réalignée (h1 à 325px, quasi-identique aux 327px de la maquette, écart résiduel de 2px = variance globale déjà connue du header)."
FL.006,[SECTION 04] Fiche produit / Achat,<h1> titre du livre,"h1 (rect 563,327,637,135 ; Georgia 67px, casse phrase ""Manifester ce que Dieu a prévu"")","h1.product-title (rect 563,325,637,135 ; mêmes styles, casse ""Manifester Ce Que Dieu A Prévu"")",CONTENU CMS À CORRIGER,"Gabarit strictement identique (police, taille, letter-spacing, line-height, position après correction du badge). Seule la casse du texte diffère (Title Case en base contre casse phrase sur la maquette) — même cause racine que le fil d'Ariane (SECTION 02), non modifiée, décision éditoriale de Serge requise."
FL.007,[SECTION 04] Fiche produit / Achat,"<a> ""Serge Hapita"" (byline)",.book-byline a:first-child,.product-author a:first-child,CONFORME,"Remesuré identique (police, couleur, position relative après correction du badge)."
FL.008,[SECTION 04] Fiche produit / Achat,"<span> ""·"" (séparateur byline)",.book-byline span,.product-author span,CONFORME,Remesuré identique.
FL.009,[SECTION 04] Fiche produit / Achat,"<a> ""amDG Éditions"" (byline, éditeur)",.book-byline a:last-child,.product-author a:last-child (PublisherLink),CONFORME,"Remesuré identique (police, couleur, lien réel vers l'éditeur)."
FL.010,[SECTION 04] Fiche produit / Achat,Résumé note/étoiles (.rating-row) — SUPPLÉMENTAIRE V2,— (absent de la maquette pour cette page : aucun bloc note/étoiles entre la byline et le prix),".rating-row (Stars + compteur d'avis, 26px + margin-top 20px)",SUPPLÉMENTAIRE V2,"AJOUT V2 RÉEL SANS ÉQUIVALENT MAQUETTE, découvert par le balayage exhaustif dédié (absent de commerce.css et du HTML de cette page — aucune classe .rating-row/.stars n'y existe). Fonctionnalité réelle et opérationnelle (moyenne + nombre d'avis réels via getReviewSummary), conservée telle quelle conformément au principe ""fonction réelle conservée"" — non retirée, car il s'agit d'un ajout fonctionnel et non d'une régression. Explique l'intégralité de l'écart de hauteur résiduel de la colonne info (792px contre 762px, soit 30px ≈ 26+20 de ce bloc)."
